gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,description
ISG15,4630.453031290036,7.553657888387761,0.8536771317647052,9.213509211377124e-21,4.27175141076289e-18,ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]
RSAD2,7239.410985242139,6.734606067013724,0.8044040315988157,1.200510538444419e-18,3.567978884899811e-16,radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]
USP18,1071.2589441292582,6.600797344964431,0.761329735502272,1.6978998530153036e-20,7.569368152423224e-18,ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]
IFIT2,54775.28311784515,6.591104515117404,0.904642110644735,1.6436449480124276e-14,1.4654991224932345e-12,interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]
OAS1,1554.8267966660546,6.039523133105043,0.7660724028509076,9.426131315820519e-18,2.0046650860042878e-15,2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]
HERC5,7551.968961384271,5.7578461119607045,0.8981885020145731,5.740566859964166e-12,3.0244959306293024e-10,HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]
OAS2,21480.132144300125,5.574038920118005,0.7384625809167517,1.7185365331421735e-15,2.0850090447685466e-13,2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]
MX1,12646.933288138303,5.4230913765698086,0.8841822804903872,2.434695824661628e-11,1.1243250718586824e-9,MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]
SIGLEC1,1014.4958379967368,5.289262314580245,0.7262595663745602,2.3955325463491232e-14,2.041663069465639e-12,sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127]
IFIT3,26459.331142638744,4.962578286130671,0.6300043169233921,2.0328139132803086e-16,3.060044944004163e-14,interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]
RIGI,11411.06647654121,4.953440272023565,0.6621105068859678,4.738024908546594e-15,4.94760781215888e-13,DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]
BATF2,216.74297822179005,4.7795618639878334,0.4307382157133686,1.9623988908677358e-31,7.582055181349308e-28,basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]
IFI44L,2914.9895828544313,4.772405149173757,0.6989256979348705,3.330599963131308e-13,2.2843185900979284e-11,interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]
PLA2G4C,448.6490363715363,4.721132560193819,0.3030685708509169,5.585564745021926e-57,6.474228095954914e-53,phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]
MX2,11380.372344611907,4.657654295728678,0.6658950291799501,1.3449226189347094e-13,9.743123797545135e-12,MX dynamin like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:7533]
IL1RN,1931.8348387186463,4.646267593284088,0.6094727171139045,2.176579886838627e-16,3.234453521582888e-14,interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]
ETV7,182.91990964000806,4.631356694235247,0.4651571086659752,1.149608072165526e-25,1.6543337873082937e-22,ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]
IFI27,184.62424027886755,4.629695266970393,0.4565193454605549,4.470920952030443e-27,8.63707412583081e-24,interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]
IFI44,6061.744233368787,4.587652609597396,0.6782164690598711,7.100013630111138e-13,4.70264331352104e-11,interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]
OAS3,24833.222618037482,4.447359489158556,0.6474052114284559,4.026282801006275e-13,2.7132932527013797e-11,2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]
DDX60,4350.9174877998585,4.310231928129775,0.6184643422758079,1.819018479065524e-13,1.2778329206574842e-11,DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]
HERC6,3254.5259565508127,4.129274527980292,0.5640747983216571,1.3364403486823229e-14,1.210209381373188e-12,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]
SLFN13,679.3288157312883,4.011382951998922,0.6180239333761594,1.521755390121386e-12,9.186805586925513e-11,schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]
DHX58,3294.0569602276023,3.973026507101066,0.5933073497510261,8.645930849312809e-13,5.56749913746582e-11,DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]
OASL,4970.010934453973,3.941879669434278,0.5420174216401141,2.0644239356699518e-14,1.7857267043545084e-12,2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]
IFI6,7383.269971573458,3.8386400056987062,0.8485144997284754,1.6567294762234954e-7,3.2383054568139185e-6,interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]
IFIH1,4866.403932824443,3.7652903176498356,0.5775692259827794,3.917055885012832e-12,2.1826189909316297e-10,interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]
EPSTI1,2898.994237872631,3.7555041302817624,0.672613151274068,1.0844291691905138e-9,3.424964168961102e-8,epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]
PLSCR2,2742.958811040115,3.6282046817027243,0.5524405172171061,2.1953216025917912e-12,1.2916737408955052e-10,phospholipid scramblase 2 [Source:HGNC Symbol;Acc:HGNC:16494]
RTP4,395.8765110514843,3.606695797992411,0.39422735121685376,1.3207001600855741e-21,8.504575308639939e-19,receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]
GBP3,19885.46757389249,3.527068598266469,0.6121712645480293,1.0234980339676769e-10,4.090815762661842e-9,guanylate binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4184]
IRF7,3827.3374127461243,3.5207830845012147,0.5881450472488399,5.518736139458584e-11,2.34313811694009e-9,interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]
FBXO6,207.07936657671502,3.5065399941117006,0.414673908103973,4.381842444328973e-19,1.4511410220633463e-16,F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]
DBF4B,345.6126903986841,3.4963479928913888,0.3784566330279722,6.86363853897093e-22,5.303762287014137e-19,DBF4 zinc finger B [Source:HGNC Symbol;Acc:HGNC:17883]
ACO1,870.4368479056119,3.4953119783531528,0.3749503061628014,1.0788954905747914e-21,7.356163312501416e-19,aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]
IFIT5,24250.9034804114,3.4571268374645068,0.8294062060487598,4.197355831783557e-7,7.496386971680002e-6,interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]
APOL6,1924.4375630581435,3.453249440867445,0.627735184427814,2.6378171024415095e-10,9.554668135749855e-9,apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]
SEMA6B,70.69855695119068,3.4176784568364007,0.4246085163716493,1.0440603406326974e-17,2.161018465763142e-15,semaphorin 6B [Source:HGNC Symbol;Acc:HGNC:10739]
MR1,292.1054867286832,3.4114980116520264,0.3843075547828335,2.3872926808512615e-20,1.0248559060647027e-17,"major histocompatibility complex, class I-related [Source:HGNC Symbol;Acc:HGNC:4975]"
CORO2A,591.4423961521907,3.385685492967935,0.6890511968215572,1.7755763182127123e-8,4.351100444905613e-7,coronin 2A [Source:HGNC Symbol;Acc:HGNC:2255]
SLFN12,409.9716624849465,3.3794715043086914,0.4108294125576369,4.12833282907128e-18,1.0181171451439405e-15,schlafen family member 12 [Source:HGNC Symbol;Acc:HGNC:25500]
PARP14,22438.795396653284,3.3353454999885574,0.5281529545486348,1.8945230214785488e-11,8.963027078350147e-10,poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]
