gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,description
ISG15,3951.1770540086695,5.890502212626911,1.0952521714149643,2.1443625994580447e-11,6.801192057243489e-10,ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]
RSAD2,7595.233766112627,5.08087352662381,1.0221686077135954,8.981930873324008e-10,1.9351219470761817e-8,radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]
OAS1,1780.2589426060222,5.009600265451498,1.5445947458043239,2.7747342019533758e-8,4.215195823701387e-7,2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]
MMP8,475.5461339946624,4.975081882949735,1.4166160308982079,6.346253958399501e-7,6.8682940832687786e-6,matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]
IL1RN,3016.0654429227056,4.893233407485567,0.46783130550096963,3.9604093473074886e-29,4.173191340421918e-26,interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]
IFIT2,55055.618545245896,4.887812679131722,1.0018305716083722,1.2753963825170603e-9,2.67810135321653e-8,interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]
CASP5,1510.3316855400913,4.691881882035801,0.36637679771186804,6.587457893170744e-39,3.8177612219871046e-35,caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]
MX1,13279.823654952883,4.572591430021125,0.8946422314143745,1.6422851250380977e-9,3.357271055435025e-8,MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]
ETV7,297.6498184841274,4.502054273398558,1.044273809976987,1.8130731576615947e-8,2.843998494762109e-7,ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]
IFI27,270.1517919316925,4.421078678850404,0.7741685953800481,1.0555374973058287e-10,2.8321146137203384e-9,interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]
HERC5,8525.858422584084,4.403899239443493,0.9818113240438566,1.2126111189115694e-8,1.9768460589738398e-7,HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]
OAS2,26734.822242756665,4.291630927968394,0.9013766950208819,1.6253910301256336e-8,2.5843494417265047e-7,2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]
USP18,960.7745993591153,4.222991188334592,0.8995183167584825,4.560044347434033e-9,8.363207916314537e-8,ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]
MR1,499.3156827762087,4.183124776936366,0.3803603130679276,9.124916206310097e-30,1.1751878194148926e-26,"major histocompatibility complex, class I-related [Source:HGNC Symbol;Acc:HGNC:4975]"
DYSF,9957.779810879341,4.1479975953876584,0.43959975788371014,4.13121407120951e-24,1.9153960919755773e-21,dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]
IFI44L,4107.530761823032,4.112738900180661,0.8841672738598091,8.98306999027067e-9,1.5289686381384337e-7,interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]
FAM89A,516.9773637717345,4.036690959024312,0.42243691538093625,1.2462834569796149e-23,5.15916841066097e-21,family with sequence similarity 89 member A [Source:HGNC Symbol;Acc:HGNC:25057]
SEMA6B,221.7374841089489,4.025277855517305,0.7791087665595275,2.1593635211845527e-9,4.3079488079260157e-8,semaphorin 6B [Source:HGNC Symbol;Acc:HGNC:10739]
RIGI,12228.718214157228,4.003160652590394,0.705432701272594,1.0102894085413614e-10,2.716998731880028e-9,DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]
PLAC8,8480.102963491141,4.0023132365922995,0.24464960255516396,7.712737369870713e-62,8.939833885417144e-58,placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]
TIFA,1032.975405752662,3.9425077182606953,0.40841385916377554,1.3751529386063645e-23,5.4963440384090935e-21,TRAF interacting protein with forkhead associated domain [Source:HGNC Symbol;Acc:HGNC:19075]
MX2,14369.260609812849,3.8906479146619954,0.7121247411066739,3.435087526325702e-10,8.295020732841918e-9,MX dynamin like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:7533]
IL18RAP,2212.12581219568,3.851229293782519,0.48970216443222075,8.85058049566852e-18,1.1928730061080676e-15,interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]
IFIT3,26825.757968743772,3.8168982354141843,0.9239273409528337,2.1064229663226878e-7,2.5700577476469764e-6,interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]
